nom,prix,devise,supermarche,categorie,categorie_description,zone
Lait aromatisé,"0,920 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Lait aromatisée,"0,920 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Lait aromatisé,"0,920 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Kéfir,"1,290 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Lait UHT 1/2 écremé,"1,350 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Lait 1/2 écrémé,"1,350 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Lait UHT 1/2 écrémé,"1,350 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Lait UHT 1/2 écrémé,"1,350 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Raieb,"1,490 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Raieb,"1,490 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Lben,"1,490 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Boisson lactée,"1,570 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Lben,"1,590 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Lben,"1,650 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Raieb,"1,650 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Raieb,"1,990 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Lben,"1,990 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Lait UHT écrémé,"2,250 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Lait écremé 0%,"2,300 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Lait UHT enrichi,"2,300 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Lait UHT,"2,350 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Lait entier,"2,490 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Lait UHT entier,"2,570 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Lait UHT entier,"2,570 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Margarine,"1,360 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Margarine,"1,380 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Crème fraîche,"1,950 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Crème fraîche,"2,480 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Crème fraîche,"2,490 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Margarine,"2,500 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Matière grasse composée,"2,550 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Margarine,"2,560 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Margarine allégée,"2,600 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Margarine,"2,650 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Crème fraîche,"2,790 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Margarine,"2,850 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Margarine,"2,880 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Margarine,"2,950 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Crème fraîche semi épa...,"3,120 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Crème fraîche légére,"3,120 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Beurre,"3,500 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Beurre,"3,890 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Margarine,"4,490 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Margarine,"4,590 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Crème chantilly,"4,690 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Margarine,"5,490 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Crème fraîche,"5,500 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Margarine,"5,580 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Préparation pasteurisé...,"6,390 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Beurre,"7,390 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Beurre,"7,450 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Crème fraîche,"7,990 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Crème chantilly,"8,980 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Crème fouettée,"9,990 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Crème fraîche spécialité,"11,490 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Crème fraîche,"11,990 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Crème fraîche à fouetter,"19,720 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Crème fraîche à fouetter,"20,490 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Crème fraîche,"44,590 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Fromage fondu goûter,"0,900 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Préparation alimentair...,"1,190 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Préparation alimentair...,"1,280 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Préparation alimentair...,"1,420 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Fromage fondu maxi,"1,520 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Fromage fondu,"1,690 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Préparation alimentair...,"1,720 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Préparation alimentair...,"1,850 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Préparation alimentair...,"1,850 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Fromage rapé,"1,990 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Préparation alimentair...,"2,060 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Préparation alimentair...,"2,200 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Fromage slice burger a...,"2,420 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Fromage slice pizza,"2,420 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Préparation alimentair...,"2,500 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Fromage slice croque'e...,"2,600 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Préparation alimentair...,"2,690 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Préparation alimentair...,"2,870 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Ricotta,"3,020 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Fromage fondu,"3,030 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Fromage frais,"3,050 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Fromage frais,"3,140 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Ricotte,"3,190 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Goutta du nord,"3,190 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Préparation alimentair...,"3,250 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Fromage frais,"3,290 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Fromage fondu goûter,"3,350 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Fromage frais vitaminé,"3,380 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Fromage carré,"3,440 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Fromage fondu,"3,500 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Fromage fondu,"3,520 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Fromage frais carré,"3,540 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Fromage slice burger,"3,660 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Fromage frais,"3,690 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Préparation alimentair...,"3,890 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Préparation alimentair...,"3,980 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Fromage fondu rapé,"4,150 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Fromage slice burger,"4,180 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Fromage fondu à l'emme...,"4,260 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Fromage tartare,"4,290 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Fromage frais carré,"4,300 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Fromage gouda,"4,390 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Fromage edam,"4,390 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Fromage carré,"4,440 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Goutta du nord,"4,560 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Fromage fondu à tartiner,"4,590 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Fromage rapé au gruyère,"4,840 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Crème à tartiner,"4,850 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Yaourt brassé,"0,430 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Yaourt brassé,"0,430 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Yaourt brassé,"0,430 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Yaourt brassé,"0,430 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Yaourt brassé,"0,430 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Yaourt brassé,"0,430 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Yaourt brassé,"0,430 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Yaourt brassé,"0,430 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Spécialité laitière br...,"0,430 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Yaourt brassé,"0,430 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Yaourt aromatisé,"0,540 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Yaourt aromatisé,"0,540 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Yaourt aromatisé,"0,540 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Yaourt aromatisé,"0,540 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Yaourt aromatisé,"0,540 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Yaourt aromatisé,"0,540 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Yaourt aromatisé,"0,540 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Yaourt aromatisé,"0,540 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Yaourt aromatisé,"0,540 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Yaourt aromatisé,"0,540 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Yaourt aromatisé,"0,540 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Yaourt aromatisé,"0,540 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Yaourt aromatisé,"0,540 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Yaourt,"0,540 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Yaourt aromatisé,"0,555 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Yaourt aromatisé,"0,555 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Yaourt aromatisé,"0,555 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Yaourt aromatisé,"0,555 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Yaourt aromatisé,"0,555 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Yaourt aromatisé,"0,555 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Spécialité laitière br...,"0,600 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Yaourt brassé,"0,600 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Spécialité laitière br...,"0,600 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Spécialité laitière br...,"0,600 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Yaourt brassé,"0,620 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Yaourt brassé,"0,620 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Yaourt brassé,"0,620 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Yaourt brassé,"0,620 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Yaourt brassé,"0,620 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Yaourt aux fruits,"0,720 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Yaourt,"0,730 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Yaourt à boire,"0,740 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Yaourt à boire,"0,740 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
Crème dessert,"0,780 DT",DT,GeantDrive,Produits Laitiers,"Lait, yaourt, fromage",Tunis
